Tiktoker name,Subscribers,Views,Likes,Comments,Shares,Month
camxnie,3500000.0,1900000.0,323600.0,1000.0,5300.0,9
canalzezao,5900000.0,1900000.0,105000.0,1100.0,6000.0,6
caocuongvu,3700000.0,3400000.0,395400.0,2200.0,797.0,6
captain.cream,4200000.0,2800000.0,345500.0,3200.0,4200.0,6
cardncyn,3800000.0,3900000.0,541900.0,801.0,318.0,9
carebearkieran,469100.0,1600000.0,354400.0,1200.0,2000.0,6
carlcunard,3000000.0,5000000.0,158300.0,1300.0,3100.0,6
carlevellyn,1700000.0,2000000.0,349600.0,2000.0,572.0,9
carloandsarah,4000000.0,2100000.0,219600.0,695.0,924.0,9
carloandsarah,3700000.0,2700000.0,240600.0,886.0,2300.0,6
carloscastroes,12500000.0,1600000.0,166500.0,285.0,2500.0,9
carloscastroes,12000000.0,1600000.0,152300.0,400.0,3100.0,6
carloscastroes,12000000.0,1600000.0,152300.0,400.0,3100.0,6
carlosferiag,40100000.0,2500000.0,203700.0,1900.0,163.0,9
carlosferiag,39200000.0,3300000.0,251900.0,2200.0,203.0,6
carolcastromx,12700000.0,3400000.0,450000.0,1300.0,379.0,9
carolcastromx,11300000.0,3100000.0,440700.0,1500.0,367.0,6
carolinarinconf,5500000.0,5900000.0,654100.0,3200.0,2900.0,6
carolvillanes,6300000.0,2000000.0,294700.0,4800.0,467.0,9
carolvillanes,5500000.0,1900000.0,336400.0,6600.0,322.0,6
carrydisini,3300000.0,3100000.0,274100.0,518.0,694.0,9
cassholland,1900000.0,1900000.0,287700.0,856.0,571.0,9
cassholland,1700000.0,2400000.0,390200.0,1400.0,943.0,6
cassy.legaspi,5800000.0,3700000.0,369700.0,1000.0,590.0,9
cauamacedo,11400000.0,1600000.0,231000.0,2900.0,1100.0,9
cauwave,1400000.0,2600000.0,396600.0,2700.0,8200.0,9
cavalo.do_rock,154400.0,1400000.0,258500.0,7000.0,17700.0,6
cbum,2600000.0,1600000.0,215800.0,1100.0,2700.0,6
cciinnn,6600000.0,2600000.0,296400.0,1700.0,588.0,6
cdiasss_,2500000.0,1900000.0,497400.0,2300.0,977.0,6
cecia.loaiza,6200000.0,1900000.0,277700.0,2000.0,388.0,6
cedricgrolet,1300000.0,3300000.0,251800.0,1100.0,2700.0,9
cedriklorenzen,2900000.0,1100000.0,115300.0,2300.0,3200.0,9
cedriklorenzen,2500000.0,3000000.0,301100.0,4300.0,8100.0,6
celinaspookyboo,26000000.0,1600000.0,246700.0,1200.0,625.0,9
cellat36,8600000.0,5400000.0,307500.0,5200.0,1900.0,9
cellat36,8500000.0,1900000.0,171400.0,5400.0,1600.0,6
cemresolmaz,10400000.0,2000000.0,137000.0,6200.0,1700.0,9
cemresolmaz,10300000.0,2400000.0,164300.0,6400.0,1600.0,6
cerenyaldz,9400000.0,4400000.0,184100.0,4800.0,712.0,9
cerenyaldz,9300000.0,1100000.0,97700.0,7900.0,1500.0,6
cerolzera,4099999.9999999995,1700000.0,180400.0,2700.0,1300.0,6
cesarpantoja.n,14000000.0,2200000.0,347100.0,1200.0,283.0,9
cesarpantoja.n,13200000.0,3000000.0,489100.0,1300.0,311.0,6
cha.momilie,1200000.0,2000000.0,282100.0,2000.0,1100.0,6
championsleague,16000000.0,2300000.0,293500.0,823.0,1200.0,9
championsleague,14900000.0,3800000.0,551900.0,3400.0,2300.0,6
chamrent,2100000.0,3700000.0,370900.0,1700.0,1300.0,6
chanelterrero,404700.0,2300000.0,257000.0,1500.0,387.0,6
chang._.a,22000000.0,1400000.0,286200.0,3600.0,1900.0,6
charl1d4meli0,64599.99999999999,5400000.0,804000.0,6900.0,1700.0,9
charlidamelio,146200000.0,15200000.0,959400.0,20800.0,4600.0,9
charlidamelio,142000000.0,16399999.999999998,1800000.0,27300.0,9500.0,6
charlieputh,19000000.0,2000000.0,324800.0,1900.0,937.0,9
charlieputh,17200000.0,1900000.0,234600.0,2600.0,772.0,6
charlotteless,1200000.0,2400000.0,226200.0,544.0,1500.0,9
charlymarieofc,966000.0,1300000.0,103100.0,1500.0,5400.0,6
charlyokei,4099999.9999999995,3600000.0,343500.0,824.0,1100.0,6
charrliiieeee,5100000.0,12000000.0,470200.0,1700.0,2900.0,9
chedurena,6800000.0,2000000.0,231500.0,1700.0,6800.0,6
cheekykiddo,4099999.9999999995,2200000.0,231800.0,489.0,1600.0,6
chicken_nugget_.0,862700.0,1600000.0,240600.0,1900.0,2800.0,6
chiefilomeno,2800000.0,2400000.0,179100.0,1500.0,596.0,6
chihuahuapeaches,295200.0,1500000.0,296700.0,2000.0,3600.0,9
chikakiku,8500000.0,3300000.0,247100.0,2100.0,679.0,6
chikn.nuggit,4700000.0,948500.0,146900.0,3200.0,1100.0,9
chimeconem.official,637600.0,3900000.0,247000.0,599.0,442.0,6
chinguamiga,20100000.0,2500000.0,469400.0,1100.0,377.0,9
chocopla_osada,688400.0,2300000.0,107900.0,977.0,3800.0,9
choega,5500000.0,2100000.0,348200.0,4100.0,2000.0,9
choega,5500000.0,2100000.0,348200.0,4100.0,2000.0,6
chourouk.model_official,4800000.0,3400000.0,147200.0,851.0,2400.0,6
chris,8100000.0,1800000.0,368000.0,559.0,424.0,9
chris,7700000.0,2100000.0,353300.0,897.0,895.0,6
chrisbrownofficial,6200000.0,2200000.0,306600.0,3600.0,3600.0,6
chrisdelia,2000000.0,1100000.0,163200.0,1100.0,3100.0,6
