Tiktoker name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.,Month
twice_tiktok_official,17.9M,1.3M,325.5K,3.7K,2.5K,9
christilukasiak0,2.3M,2.3M,369.3K,1.8K,1.2K,9
katiavlogss,14.5M,3.4M,274.4K,2.6K,294,9
nhu_y1203,690.2K,2.6M,239.8K,4K,205,9
jidion,4.2M,1.9M,412.5K,2K,1.3K,9
lifeofsal,614.3K,2.4M,166.2K,1.2K,5.4K,9
nikkietutorials,6.2M,3.2M,498K,1.1K,538,9
ivanovik.83,172.7K,2.3M,91.5K,1.1K,11.1K,9
erictro,4.5M,5.6M,547.4K,507,330,9
virginiafonseca,34.1M,3M,410.9K,1.2K,961,9
paigetaylor.s,4.5M,2.6M,393.3K,1.9K,546,9
thecoreyb,8.8M,1.5M,194.2K,755,8.3K,9
carolcastromx,12.7M,3.4M,450K,1.3K,379,9
ianlucasok,4.5M,2.4M,262.9K,3.3K,830,9
voronina_valeria_,2.3M,3.7M,460.4K,1.1K,334,9
pacodemiguel,6.8M,1.5M,229.6K,1.9K,5.4K,9
joshrichards,25.6M,2.7M,354K,1.9K,737,9
surasak1437,1.1M,1.8M,188.5K,463,7K,9
com.yuta0305,1.2M,1.7M,225.6K,4.7K,1.9K,9
ayutingting,7.2M,2.9M,239.2K,1.5K,2.1K,9
yahayraosorio,372.6K,2.2M,67.7K,1.1K,15.7K,9
tina_042,795K,1.8M,314K,2K,2.4K,9
abosaed49,661.4K,2.1M,169.4K,3.1K,3.9K,9
theestallion,12.2M,2.1M,277.2K,2.3K,2K,9
musdalifahbasrii,1.3M,2.2M,190.2K,3.4K,2.6K,9
haileybieber,9.8M,3.5M,342.6K,1.2K,845,9
dialaaljazairi,198.7K,4M,113.2K,3.1K,2.4K,9
